Código Plan,Plan,Cohorte,Sede,RUN,DV,Nombres,Apellido Paterno,Apellido Materno,Número de alumno,Periodo Asignatura,Código Asignatura,Asignatura,Convocatoria,Calificación,Nota
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2019-01,Hogwarts,9468818,K,JOSEA.,CABROLIER,DTI,413187,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2019-01,Hogwarts,12270923,1,AIDA,MAQUIEIRA,BRIEBA,512230,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2020-01,Beauxbaton,6181779,9,AGNETTA,LOAIZA,SANI,517032,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2020-01,Hogwarts,23390683,4,BERNARDA,BRAIN,CASANOVA,433281,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2017-01,Beauxbaton,19695238,1,MONTSE,JIMENEZ,KOCH,565909,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,8200392,5,ESTIBALIA,DEL PINO,ROCHET,519070,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,23831642,7,JEANNINA,HERRERA,CONDE,532053,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,19106251,0,BELÉN,JASEN,GIRALT,640067,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,5313809,0,CAMILLE,PERALTA,FURLANETTO,437055,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,16497065,4,BASTIÁN,SAEZ,BISKUPOVIC,524065,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,17903949,1,RAMIRO,UGALDE,ACEITON,460060,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,25448171,1,HUMBERT,MOGLIA,ASENCIO,579069,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,20563135,4,BÁSTIAN,ALCA,MATUS,547062,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,20957042,9,HERMANN,NORMANDIN,TRIVIÑO,617063,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,10212306,6,LIZETTE,BADILLA,YURIN,419052,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
